"rgn_id","habitat","boolean"
1,"coral",1
1,"mangrove",1
1,"saltmarsh",1
1,"seagrass",1
1,"seaice_edge",1
1,"soft_bottom",1
2,"coral",1
2,"mangrove",1
2,"saltmarsh",1
2,"seagrass",1
2,"seaice_edge",1
2,"soft_bottom",1
3,"coral",1
3,"mangrove",1
3,"saltmarsh",1
3,"seagrass",1
3,"seaice_edge",1
3,"soft_bottom",1
4,"coral",1
4,"mangrove",1
4,"saltmarsh",1
4,"seagrass",1
4,"seaice_edge",1
4,"soft_bottom",1
5,"coral",1
5,"mangrove",1
5,"saltmarsh",1
5,"seagrass",1
5,"seaice_edge",1
5,"soft_bottom",1
6,"coral",1
6,"mangrove",1
6,"saltmarsh",1
6,"seagrass",1
6,"seaice_edge",1
6,"soft_bottom",1
7,"coral",1
7,"mangrove",1
7,"saltmarsh",1
7,"seagrass",1
7,"seaice_edge",1
7,"soft_bottom",1
8,"coral",1
8,"mangrove",1
8,"saltmarsh",1
8,"seagrass",1
8,"seaice_edge",1
8,"soft_bottom",1
9,"coral",1
9,"mangrove",1
9,"saltmarsh",1
9,"seagrass",1
9,"seaice_edge",1
9,"soft_bottom",1
