rgn_id,year,Ed
1,1989,4295770
1,1990,4446220
1,1991,4497310
1,1992,4576440
1,1993,4741720
1,1994,4848130
1,1995,5013010
1,1996,5344650
1,1997,5585750
1,1998,5728320
1,1999,5848380
1,2000,6018170
1,2001,5792310
1,2002,5677750
1,2003,5611200
1,2004,5865370
1,2005,5686530
1,2006,5636040
1,2007,5492920
1,2008,5493960
1,2009,5081510
1,2010,4907100
1,2011,4994690
1,2012,5228470
1,2013,5302190
2,1989,261673
2,1990,267008
2,1991,256551
2,1992,261129
2,1993,276538
2,1994,304860
2,1995,314530
2,1996,343382
2,1997,359878
2,1998,399884
2,1999,408784
2,2000,439809
2,2001,461989
2,2002,488164
2,2003,465616
2,2004,494070
2,2005,466368
2,2006,427567
2,2007,435692
2,2008,439803
2,2009,432689
2,2010,428550
2,2011,434506
2,2012,440491
2,2013,447141
3,1989,261673
3,1990,267008
3,1991,256551
3,1992,261129
3,1993,276538
3,1994,304860
3,1995,314530
3,1996,343382
3,1997,359878
3,1998,399884
3,1999,408784
3,2000,439809
3,2001,461989
3,2002,488164
3,2003,465616
3,2004,494070
3,2005,466368
3,2006,427567
3,2007,435692
3,2008,439803
3,2009,432689
3,2010,428550
3,2011,434506
3,2012,440491
3,2013,447141
4,1989,100181
4,1990,172916
4,1991,205936
4,1992,796737
4,1993,1881990
4,1994,999587
4,1995,867264
4,1996,1024520
4,1997,995806
4,1998,1020490
4,1999,999208
4,2000,974615
4,2001,1036940
4,2002,995099
4,2003,943322
4,2004,965618
4,2005,966346
4,2006,940255
4,2007,949626
4,2008,945192
4,2009,1012720
4,2010,946607
4,2011,925198
4,2012,934172
4,2013,976578
5,1989,118987
5,1990,108114
5,1991,118806
5,1992,115420
5,1993,121962
5,1994,132947
5,1995,133494
5,1996,150275
5,1997,158019
5,1998,156106
5,1999,166801
5,2000,168981
5,2001,161309
5,2002,151822
5,2003,143406
5,2004,130737
5,2005,132199
5,2006,132485
5,2007,140544
5,2008,146433
5,2009,142998
5,2010,140987
5,2011,146623
5,2012,137147
5,2013,130887
6,1989,118987
6,1990,108114
6,1991,118806
6,1992,115420
6,1993,121962
6,1994,132947
6,1995,133494
6,1996,150275
6,1997,158019
6,1998,156106
6,1999,166801
6,2000,168981
6,2001,161309
6,2002,151822
6,2003,143406
6,2004,130737
6,2005,132199
6,2006,132485
6,2007,140544
6,2008,146433
6,2009,142998
6,2010,140987
6,2011,146623
6,2012,137147
6,2013,130887
7,1989,118987
7,1990,108114
7,1991,118806
7,1992,115420
7,1993,121962
7,1994,132947
7,1995,133494
7,1996,150275
7,1997,158019
7,1998,156106
7,1999,166801
7,2000,168981
7,2001,161309
7,2002,151822
7,2003,143406
7,2004,130737
7,2005,132199
7,2006,132485
7,2007,140544
7,2008,146433
7,2009,142998
7,2010,140987
7,2011,146623
7,2012,137147
7,2013,130887
8,1989,NA
8,1990,NA
8,1991,NA
8,1992,NA
8,1993,NA
8,1994,NA
8,1995,NA
8,1996,NA
8,1997,NA
8,1998,NA
8,1999,NA
8,2000,NA
8,2001,NA
8,2002,NA
8,2003,NA
8,2004,NA
8,2005,NA
8,2006,NA
8,2007,NA
8,2008,NA
8,2009,NA
8,2010,NA
8,2011,NA
8,2012,NA
8,2013,NA
9,1989,NA
9,1990,NA
9,1991,NA
9,1992,NA
9,1993,NA
9,1994,NA
9,1995,NA
9,1996,NA
9,1997,NA
9,1998,NA
9,1999,NA
9,2000,NA
9,2001,NA
9,2002,NA
9,2003,NA
9,2004,NA
9,2005,NA
9,2006,NA
9,2007,NA
9,2008,NA
9,2009,NA
9,2010,NA
9,2011,NA
9,2012,NA
9,2013,NA
