rgn_id,rgn_name,year,mean_cat,ico_status,n_spp
1,Alaska,2e3,0.06,94,5
1,Alaska,2001,0.06,94,5
1,Alaska,2002,0.06,94,5
1,Alaska,2003,0.06,94,5
1,Alaska,2004,0.06,94,5
1,Alaska,2005,0.06,94,5
1,Alaska,2006,0.06,94,5
1,Alaska,2007,0.06,94,5
1,Alaska,2008,0.03,97,5
1,Alaska,2009,0.03,97,5
1,Alaska,2010,0.03,97,5
1,Alaska,2011,0.03,97,5
1,Alaska,2012,0.03,97,5
1,Alaska,2013,0.03,97,5
1,Alaska,2014,0.03,97,5
1,Alaska,2015,0.03,97,5
1,Alaska,2016,0.11,89,5
2,Nunavut,2e3,0.14286,85.714,7
2,Nunavut,2001,0.14286,85.714,7
2,Nunavut,2002,0.14286,85.714,7
2,Nunavut,2003,0.14286,85.714,7
2,Nunavut,2004,0.14286,85.714,7
2,Nunavut,2005,0.14286,85.714,7
2,Nunavut,2006,0.15714,84.286,7
2,Nunavut,2007,0.15714,84.286,7
2,Nunavut,2008,0.10714,89.286,7
2,Nunavut,2009,0.10714,89.286,7
2,Nunavut,2010,0.10714,89.286,7
2,Nunavut,2011,0.10714,89.286,7
2,Nunavut,2012,0.10714,89.286,7
2,Nunavut,2013,0.10714,89.286,7
2,Nunavut,2014,0.10714,89.286,7
2,Nunavut,2015,0.10714,89.286,7
2,Nunavut,2016,0.16429,83.571,7
3,Beaufort,2e3,0.25,75,4
3,Beaufort,2001,0.25,75,4
3,Beaufort,2002,0.25,75,4
3,Beaufort,2003,0.25,75,4
3,Beaufort,2004,0.25,75,4
3,Beaufort,2005,0.25,75,4
3,Beaufort,2006,0.275,72.5,4
3,Beaufort,2007,0.275,72.5,4
3,Beaufort,2008,0.1875,81.25,4
3,Beaufort,2009,0.1875,81.25,4
3,Beaufort,2010,0.1875,81.25,4
3,Beaufort,2011,0.1875,81.25,4
3,Beaufort,2012,0.1875,81.25,4
3,Beaufort,2013,0.1875,81.25,4
3,Beaufort,2014,0.1875,81.25,4
3,Beaufort,2015,0.1875,81.25,4
3,Beaufort,2016,0.1875,81.25,4
4,Russia,2e3,0.17857,82.143,7
4,Russia,2001,0.17857,82.143,7
4,Russia,2002,0.17857,82.143,7
4,Russia,2003,0.17857,82.143,7
4,Russia,2004,0.17857,82.143,7
4,Russia,2005,0.17857,82.143,7
4,Russia,2006,0.17857,82.143,7
4,Russia,2007,0.17857,82.143,7
4,Russia,2008,0.15,85,7
4,Russia,2009,0.15,85,7
4,Russia,2010,0.15,85,7
4,Russia,2011,0.15,85,7
4,Russia,2012,0.15,85,7
4,Russia,2013,0.15,85,7
4,Russia,2014,0.15,85,7
4,Russia,2015,0.15,85,7
4,Russia,2016,0.20714,79.286,7
5,Svalbard,2e3,0,100,2
5,Svalbard,2001,0,100,2
5,Svalbard,2002,0,100,2
5,Svalbard,2003,0,100,2
5,Svalbard,2004,0,100,2
5,Svalbard,2005,0,100,2
5,Svalbard,2006,0,100,2
5,Svalbard,2007,0,100,2
5,Svalbard,2008,0,100,2
5,Svalbard,2009,0,100,2
5,Svalbard,2010,0,100,2
5,Svalbard,2011,0,100,2
5,Svalbard,2012,0,100,2
5,Svalbard,2013,0,100,2
5,Svalbard,2014,0,100,2
5,Svalbard,2015,0,100,2
5,Svalbard,2016,0,100,2
8,West Greenland,2e3,0.25909,74.091,11
8,West Greenland,2001,0.25909,74.091,11
8,West Greenland,2002,0.25909,74.091,11
8,West Greenland,2003,0.25909,74.091,11
8,West Greenland,2004,0.25909,74.091,11
8,West Greenland,2005,0.25909,74.091,11
8,West Greenland,2006,0.26818,73.182,11
8,West Greenland,2007,0.26818,73.182,11
8,West Greenland,2008,0.18182,81.818,11
8,West Greenland,2009,0.18182,81.818,11
8,West Greenland,2010,0.18182,81.818,11
8,West Greenland,2011,0.18182,81.818,11
8,West Greenland,2012,0.18182,81.818,11
8,West Greenland,2013,0.18182,81.818,11
8,West Greenland,2014,0.18182,81.818,11
8,West Greenland,2015,0.18182,81.818,11
8,West Greenland,2016,0.21818,78.182,11
9,East Greenland,2e3,0.12857,87.143,7
9,East Greenland,2001,0.12857,87.143,7
9,East Greenland,2002,0.12857,87.143,7
9,East Greenland,2003,0.12857,87.143,7
9,East Greenland,2004,0.12857,87.143,7
9,East Greenland,2005,0.12857,87.143,7
9,East Greenland,2006,0.14286,85.714,7
9,East Greenland,2007,0.14286,85.714,7
9,East Greenland,2008,0.11429,88.571,7
9,East Greenland,2009,0.11429,88.571,7
9,East Greenland,2010,0.11429,88.571,7
9,East Greenland,2011,0.11429,88.571,7
9,East Greenland,2012,0.11429,88.571,7
9,East Greenland,2013,0.11429,88.571,7
9,East Greenland,2014,0.11429,88.571,7
9,East Greenland,2015,0.11429,88.571,7
9,East Greenland,2016,0.17143,82.857,7
NA,NA,2e3,0.55,44.99999999999999,4
NA,NA,2001,0.55,44.99999999999999,4
NA,NA,2002,0.55,44.99999999999999,4
NA,NA,2003,0.55,44.99999999999999,4
NA,NA,2004,0.55,44.99999999999999,4
NA,NA,2005,0.55,44.99999999999999,4
NA,NA,2006,0.55,44.99999999999999,4
NA,NA,2007,0.55,44.99999999999999,4
NA,NA,2008,0.65,35,4
NA,NA,2009,0.65,35,4
NA,NA,2010,0.65,35,4
NA,NA,2011,0.65,35,4
NA,NA,2012,0.65,35,4
NA,NA,2013,0.65,35,4
NA,NA,2014,0.65,35,4
NA,NA,2015,0.65,35,4
NA,NA,2016,0.65,35,4
