"","rgn_id","year","sector","jobs"
"1",1,2004,"tourism",598
"2",1,2005,"tourism",745
"3",1,2006,"tourism",671
"4",1,2007,"tourism",685
"5",1,2008,"tourism",749
"6",1,2009,"tourism",729
"7",1,2010,"tourism",712
"8",1,2011,"tourism",717
"9",1,2012,"tourism",745
"10",1,2013,"tourism",723
"11",1,2014,"tourism",891
"12",2,2008,"tourism",340
"13",2,2009,"tourism",325
"14",2,2010,"tourism",292
"15",2,2011,"tourism",283
"16",2,2012,"tourism",333
"17",2,2013,"tourism",483
"18",2,2014,"tourism",458
"19",3,2001,"tourism",270
"20",3,2002,"tourism",313
"21",3,2003,"tourism",313
"22",3,2004,"tourism",298
"23",3,2005,"tourism",298
"24",3,2006,"tourism",284
"25",3,2007,"tourism",284
"26",3,2008,"tourism",298
"27",3,2009,"tourism",228
"28",3,2010,"tourism",228
"29",3,2011,"tourism",298
"30",3,2012,"tourism",284
"31",3,2013,"tourism",270
"32",3,2014,"tourism",256
"33",3,2015,"tourism",270
"34",4,2010,"tourism",20556
"35",4,2011,"tourism",20900
"36",4,2012,"tourism",22679
"37",4,2013,"tourism",24290
"38",4,2014,"tourism",24855
"39",5,2009,"tourism",174
"40",5,2010,"tourism",181
"41",5,2011,"tourism",229
"42",5,2012,"tourism",260
"43",5,2013,"tourism",262
"44",5,2014,"tourism",315
"45",6,2010,"tourism",10109
"46",6,2011,"tourism",10443
"47",6,2012,"tourism",10449
"48",6,2013,"tourism",10907
"49",6,2014,"tourism",11268
"50",8,2008,"tourism",1575.2
"51",8,2009,"tourism",1470.4
"52",8,2010,"tourism",1454.4
"53",8,2011,"tourism",1445.6
"54",8,2012,"tourism",1416
"55",8,2013,"tourism",1472.8
"56",9,2008,"tourism",393.8
"57",9,2009,"tourism",367.6
"58",9,2010,"tourism",363.6
"59",9,2011,"tourism",361.4
"60",9,2012,"tourism",354
"61",9,2013,"tourism",368.2
